TERM,MEANING
S99101D,"Unspecified physeal fracture of right metatarsal, 7thD"
S99101G,"Unspecified physeal fracture of right metatarsal, 7thG"
S99101K,"Unspecified physeal fracture of right metatarsal, 7thK"
S99101P,"Unspecified physeal fracture of right metatarsal, 7thP"
S99101S,"Unspecified physeal fracture of right  metatarsal, sequela"
S99102A,"Unspecified physeal fracture of left metatarsal, init"
S99102B,"Unspecified physeal fracture of left metatarsal, 7thB"
S99102D,"Unspecified physeal fracture of left metatarsal, 7thD"
S99102G,"Unspecified physeal fracture of left metatarsal, 7thG"
S99102K,"Unspecified physeal fracture of left metatarsal, 7thK"
S99102P,"Unspecified physeal fracture of left metatarsal, 7thP"
S99102S,"Unspecified physeal fracture of left metatarsal, sequela"
S99109A,"Unspecified physeal fracture of unspecified metatarsal, init"
S99109B,"Unspecified physeal fracture of unspecified metatarsal, 7thB"
S99109D,"Unspecified physeal fracture of unspecified metatarsal, 7thD"
S99109G,"Unspecified physeal fracture of unspecified metatarsal, 7thG"
S99109K,"Unspecified physeal fracture of unspecified metatarsal, 7thK"
S99109P,"Unspecified physeal fracture of unspecified metatarsal, 7thP"
S99109S,"Unspecified physeal fx unspecified metatarsal, sequela"
S99111A,"Sltr-haris Type I physeal fracture of right metatarsal, init"
S99111B,"Sltr-haris Type I physeal fracture of right metatarsal, 7thB"
S99111D,"Sltr-haris Type I physeal fracture of right metatarsal, 7thD"
S99111G,"Sltr-haris Type I physeal fracture of right metatarsal, 7thG"
S99111K,"Sltr-haris Type I physeal fracture of right metatarsal, 7thK"
S99111P,"Sltr-haris Type I physeal fracture of right metatarsal, 7thP"
S99111S,"Sltr-haris Type I physeal fx right metatarsal, sequela"
S99112A,"Sltr-haris Type I physeal fracture of left metatarsal, init"
S99112B,"Sltr-haris Type I physeal fracture of left metatarsal, 7thB"
S99112D,"Sltr-haris Type I physeal fracture of left metatarsal, 7thD"
S99112G,"Sltr-haris Type I physeal fracture of left metatarsal, 7thG"
S99112K,"Sltr-haris Type I physeal fracture of left metatarsal, 7thK"
S99112P,"Sltr-haris Type I physeal fracture of left metatarsal, 7thP"
S99112S,"Sltr-haris Type I physeal fx left metatarsal, sequela"
S99119A,"Sltr-haris Type I physeal fx unspecified metatarsal, init"
S99119B,"Sltr-haris Type I physeal fx unspecified metatarsal, 7thB"
S99119D,"Sltr-haris Type I physeal fx unspecified metatarsal, 7thD"
S99119G,"Sltr-haris Type I physeal fx unspecified metatarsal, 7thG"
S99119K,"Sltr-haris Type I physeal fx unspecified metatarsal, 7thK"
S99119P,"Sltr-haris Type I physeal fx unspecified metatarsal, 7thP"
S99119S,"Sltr-haris Type I physeal fx unspecified metatarsal, sequela"
S99121A,"Sltr-haris Type II physeal fx right metatarsal, init"
S99121B,"Sltr-haris Type II physeal fx right metatarsal, 7thB"
S99121D,"Sltr-haris Type II physeal fx right metatarsal, 7thD"
S99121G,"Sltr-haris Type II physeal fx right metatarsal, 7thG"
S99121K,"Sltr-haris Type II physeal fx right metatarsal, 7thK"
S99121P,"Sltr-haris Type II physeal fx right metatarsal, 7thP"
S99121S,"Sltr-haris Type II physeal fx right metatarsal, sequela"
S99122A,"Sltr-haris Type II physeal fracture of left metatarsal, init"
S99122B,"Sltr-haris Type II physeal fracture of left metatarsal, 7thB"
S99122D,"Sltr-haris Type II physeal fracture of left metatarsal, 7thD"
S99122G,"Sltr-haris Type II physeal fracture of left metatarsal, 7thG"
S99122K,"Sltr-haris Type II physeal fracture of left metatarsal, 7thK"
S99122P,"Sltr-haris Type II physeal fracture of left metatarsal, 7thP"
S99122S,"Sltr-haris Type II physeal fx left metatarsal, sequela"
S99129A,"Sltr-haris Type II physeal fx unspecified metatarsal, init"
S99129B,"Sltr-haris Type II physeal fx unspecified metatarsal, 7thB"
S99129D,"Sltr-haris Type II physeal fx unspecified metatarsal, 7thD"
S99129G,"Sltr-haris Type II physeal fx unspecified metatarsal, 7thG"
S99129K,"Sltr-haris Type II physeal fx unspecified metatarsal, 7thK"
S99129P,"Sltr-haris Type II physeal fx unspecified metatarsal, 7thP"
S99129S,"Sltr-haris Type II physeal fx unsp metatarsal, sequela"
S99131A,"Sltr-haris Type III physeal fx right metatarsal, init"
S99131B,"Sltr-haris Type III physeal fx right metatarsal, 7thB"
S99131D,"Sltr-haris Type III physeal fx right metatarsal, 7thD"
S99131G,"Sltr-haris Type III physeal fx right metatarsal, 7thG"
S99131K,"Sltr-haris Type III physeal fx right metatarsal, 7thK"
S99131P,"Sltr-haris Type III physeal fx right metatarsal, 7thP"
S99131S,"Sltr-haris Type III physeal fx right metatarsal, sequela"
S99132A,"Sltr-haris Type III physeal fx left metatarsal, init"
S99132B,"Sltr-haris Type III physeal fx left metatarsal, 7thB"
S99132D,"Sltr-haris Type III physeal fx left metatarsal, 7thD"
S99132G,"Sltr-haris Type III physeal fx left metatarsal, 7thG"
S99132K,"Sltr-haris Type III physeal fx left metatarsal, 7thK"
S99132P,"Sltr-haris Type III physeal fx left metatarsal, 7thP"
S99132S,"Sltr-haris Type III physeal fx left metatarsal, sequela"
S99139A,"Sltr-haris Type III physeal fx unspecified metatarsal, init"
S99139B,"Sltr-haris Type III physeal fx unspecified metatarsal, 7thB"
S99139D,"Sltr-haris Type III physeal fx unspecified metatarsal, 7thD"
S99139G,"Sltr-haris Type III physeal fx unspecified metatarsal, 7thG"
S99139K,"Sltr-haris Type III physeal fx unspecified metatarsal, 7thK"
S99139P,"Sltr-haris Type III physeal fx unspecified metatarsal, 7thP"
S99139S,"Sltr-haris Type III physeal fx unsp metatarsal, sequela"
S99141A,"Sltr-haris Type IV physeal fx right metatarsal, init"
S99141B,"Sltr-haris Type IV physeal fx right metatarsal, 7thB"
S99141D,"Sltr-haris Type IV physeal fx right metatarsal, 7thD"
S99141G,"Sltr-haris Type IV physeal fx right metatarsal, 7thG"
S99141K,"Sltr-haris Type IV physeal fx right metatarsal, 7thK"
S99141P,"Sltr-haris Type IV physeal fx right metatarsal, 7thP"
S99141S,"Sltr-haris Type IV physeal fx right metatarsal, sequela"
S99142A,"Sltr-haris Type IV physeal fracture of left metatarsal, init"
S99142B,"Sltr-haris Type IV physeal fracture of left metatarsal, 7thB"
S99142D,"Sltr-haris Type IV physeal fracture of left metatarsal, 7thD"
S99142G,"Sltr-haris Type IV physeal fracture of left metatarsal, 7thG"
S99142K,"Sltr-haris Type IV physeal fracture of left metatarsal, 7thK"
S99142P,"Sltr-haris Type IV physeal fracture of left metatarsal, 7thP"
S99142S,"Sltr-haris Type IV physeal fx left metatarsal, sequela"
S99149A,"Sltr-haris Type IV physeal fx unspecified metatarsal, init"
S99149B,"Sltr-haris Type IV physeal fx unspecified metatarsal, 7thB"
S99149D,"Sltr-haris Type IV physeal fx unspecified metatarsal, 7thD"
S99149G,"Sltr-haris Type IV physeal fx unspecified metatarsal, 7thG"
S99149K,"Sltr-haris Type IV physeal fx unspecified metatarsal, 7thK"
S99149P,"Sltr-haris Type IV physeal fx unspecified metatarsal, 7thP"
S99149S,"Sltr-haris Type IV physeal fx unsp metatarsal, sequela"
S99191A,"Other physeal fracture of right metatarsal, init"
S99191B,"Other physeal fracture of right metatarsal, 7thB"
S99191D,"Other physeal fracture of right metatarsal, 7thD"
S99191G,"Other physeal fracture of right metatarsal, 7thG"
S99191K,"Other physeal fracture of right metatarsal, 7thK"
S99191P,"Other physeal fracture of right metatarsal, 7thP"
S99191S,"Other physeal fracture of right metatarsal, sequela"
S99192A,"Other physeal fracture of left metatarsal, init"
S99192B,"Other physeal fracture of left metatarsal, 7thB"
S99192D,"Other physeal fracture of left metatarsal, 7thD"
S99192G,"Other physeal fracture of left metatarsal, 7thG"
S99192K,"Other physeal fracture of left metatarsal, 7thK"
S99192P,"Other physeal fracture of left metatarsal, 7thP"
S99192S,"Other physeal fracture of left metatarsal, sequela"
S99199A,"Other physeal fracture of unspecified metatarsal, init"
S99199B,"Other physeal fracture of unspecified metatarsal, 7thB"
S99199D,"Other physeal fracture of unspecified metatarsal, 7thD"
S99199G,"Other physeal fracture of unspecified metatarsal, 7thG"
S99199K,"Other physeal fracture of unspecified metatarsal, 7thK"
S99199P,"Other physeal fracture of unspecified metatarsal, 7thP"
S99199S,"Other physeal fracture of unspecified metatarsal, sequela"
S99201A,"Unspecified physeal fracture of phalanx of right toe, init"
S99201B,"Unspecified physeal fracture of phalanx of right toe, 7thB"
S99201D,"Unspecified physeal fracture of phalanx of right toe, 7thD"
S99201G,"Unspecified physeal fracture of phalanx of right toe, 7thG"
S99201K,"Unspecified physeal fracture of phalanx of right toe, 7thK"
S99201P,"Unspecified physeal fracture of phalanx of right toe, 7thP"
S99201S,"Unspecified physeal fx phalanx of right toe, sequela"
S99202A,"Unspecified physeal fracture of phalanx of left toe, init"
S99202B,"Unspecified physeal fracture of phalanx of left toe, 7thB"
S99202D,"Unspecified physeal fracture of phalanx of left toe, 7thD"
S99202G,"Unspecified physeal fracture of phalanx of left toe, 7thG"
S99202K,"Unspecified physeal fracture of phalanx of left toe, 7thK"
S99202P,"Unspecified physeal fracture of phalanx of left toe, 7thP"
S99202S,"Unspecified physeal fracture of phalanx of left toe, sequela"
S99209A,"Unspecified physeal fx phalanx of unspecified toe, init"
S99209B,"Unspecified physeal fx phalanx of unspecified toe, 7thB"
S99209D,"Unspecified physeal fx phalanx of unspecified toe, 7thD"
S99209G,"Unspecified physeal fx phalanx of unspecified toe, 7thG"
S99209K,"Unspecified physeal fx phalanx of unspecified toe, 7thK"
S99209P,"Unspecified physeal fx phalanx of unspecified toe, 7thP"
S99209S,"Unspecified physeal fx phalanx of unspecified toe, sequela"
S99211A,"Sltr-haris Type I physeal fx phalanx of right toe, init"
S99211B,"Sltr-haris Type I physeal fx phalanx of right toe, 7thB"
S99211D,"Sltr-haris Type I physeal fx phalanx of right toe, 7thD"
S99211G,"Sltr-haris Type I physeal fx phalanx of right toe, 7thG"
S99211K,"Sltr-haris Type I physeal fx phalanx of right toe, 7thK"
S99211P,"Sltr-haris Type I physeal fx phalanx of right toe, 7thP"
S99211S,"Sltr-haris Type I physeal fx phalanx of right toe, sequela"
S99212A,"Sltr-haris Type I physeal fx phalanx of left toe, init"
S99212B,"Sltr-haris Type I physeal fx phalanx of left toe, 7thB"
S99212D,"Sltr-haris Type I physeal fx phalanx of left toe, 7thD"
S99212G,"Sltr-haris Type I physeal fx phalanx of left toe, 7thG"
S99212K,"Sltr-haris Type I physeal fx phalanx of left toe, 7thK"
S99212P,"Sltr-haris Type I physeal fx phalanx of left toe, 7thP"
S99212S,"Sltr-haris Type I physeal fx phalanx of left toe, sequela"
S99219A,"Sltr-haris Type I physeal fx phalanx of unsp toe, init"
S99219B,"Sltr-haris Type I physeal fx phalanx of unsp toe, 7thB"
S99219D,"Sltr-haris Type I physeal fx phalanx of unsp toe, 7thD"
S99219G,"Sltr-haris Type I physeal fx phalanx of unsp toe, 7thG"
S99219K,"Sltr-haris Type I physeal fx phalanx of unsp toe, 7thK"
S99219P,"Sltr-haris Type I physeal fx phalanx of unsp toe, 7thP"
S99219S,"Sltr-haris Type I physeal fx phalanx of unsp toe, sequela"
S99221A,"Sltr-haris Type II physeal fx phalanx of right toe, init"
S99221B,"Sltr-haris Type II physeal fx phalanx of right toe, 7thB"
S99221D,"Sltr-haris Type II physeal fx phalanx of right toe, 7thD"
S99221G,"Sltr-haris Type II physeal fx phalanx of right toe, 7thG"
S99221K,"Sltr-haris Type II physeal fx phalanx of right toe, 7thK"
S99221P,"Sltr-haris Type II physeal fx phalanx of right toe, 7thP"
S99221S,"Sltr-haris Type II physeal fx phalanx of right toe, sequela"
S99222A,"Sltr-haris Type II physeal fx phalanx of left toe, init"
S99222B,"Sltr-haris Type II physeal fx phalanx of left toe, 7thB"
S99222D,"Sltr-haris Type II physeal fx phalanx of left toe, 7thD"
S99222G,"Sltr-haris Type II physeal fx phalanx of left toe, 7thG"
S99222K,"Sltr-haris Type II physeal fx phalanx of left toe, 7thK"
S99222P,"Sltr-haris Type II physeal fx phalanx of left toe, 7thP"
S99222S,"Sltr-haris Type II physeal fx phalanx of left toe, sequela"
S99229A,"Sltr-haris Type II physeal fx phalanx of unsp toe, init"
S99229B,"Sltr-haris Type II physeal fx phalanx of unsp toe, 7thB"
S99229D,"Sltr-haris Type II physeal fx phalanx of unsp toe, 7thD"
S99229G,"Sltr-haris Type II physeal fx phalanx of unsp toe, 7thG"
S99229K,"Sltr-haris Type II physeal fx phalanx of unsp toe, 7thK"
S99229P,"Sltr-haris Type II physeal fx phalanx of unsp toe, 7thP"
S99229S,"Sltr-haris Type II physeal fx phalanx of unsp toe, sequela"
S99231A,"Sltr-haris Type III physeal fx phalanx of right toe, init"
S99231B,"Sltr-haris Type III physeal fx phalanx of right toe, 7thB"
S99231D,"Sltr-haris Type III physeal fx phalanx of right toe, 7thD"
S99231G,"Sltr-haris Type III physeal fx phalanx of right toe, 7thG"
S99231K,"Sltr-haris Type III physeal fx phalanx of right toe, 7thK"
S99231P,"Sltr-haris Type III physeal fx phalanx of right toe, 7thP"
S99231S,"Sltr-haris Type III physeal fx phalanx of right toe, sequela"
S99232A,"Sltr-haris Type III physeal fx phalanx of left toe, init"
S99232B,"Sltr-haris Type III physeal fx phalanx of left toe, 7thB"
S99232D,"Sltr-haris Type III physeal fx phalanx of left toe, 7thD"
S99232G,"Sltr-haris Type III physeal fx phalanx of left toe, 7thG"
S99232K,"Sltr-haris Type III physeal fx phalanx of left toe, 7thK"
S99232P,"Sltr-haris Type III physeal fx phalanx of left toe, 7thP"
S99232S,"Sltr-haris Type III physeal fx phalanx of left toe, sequela"
S99239A,"Sltr-haris Type III physeal fx phalanx of unsp toe, init"
S99239B,"Sltr-haris Type III physeal fx phalanx of unsp toe, 7thB"
S99239D,"Sltr-haris Type III physeal fx phalanx of unsp toe, 7thD"
S99239G,"Sltr-haris Type III physeal fx phalanx of unsp toe, 7thG"
S99239K,"Sltr-haris Type III physeal fx phalanx of unsp toe, 7thK"
S99239P,"Sltr-haris Type III physeal fx phalanx of unsp toe, 7thP"
S99239S,"Sltr-haris Type III physeal fx phalanx of unsp toe, sequela"
S99241A,"Sltr-haris Type IV physeal fx phalanx of right toe, init"
S99241B,"Sltr-haris Type IV physeal fx phalanx of right toe, 7thB"
S99241D,"Sltr-haris Type IV physeal fx phalanx of right toe, 7thD"
S99241G,"Sltr-haris Type IV physeal fx phalanx of right toe, 7thG"
S99241K,"Sltr-haris Type IV physeal fx phalanx of right toe, 7thK"
S99241P,"Sltr-haris Type IV physeal fx phalanx of right toe, 7thP"
S99241S,"Sltr-haris Type IV physeal fx phalanx of right toe, sequela"
S99242A,"Sltr-haris Type IV physeal fx phalanx of left toe, init"
S99242B,"Sltr-haris Type IV physeal fx phalanx of left toe, 7thB"
S99242D,"Sltr-haris Type IV physeal fx phalanx of left toe, 7thD"
S99242G,"Sltr-haris Type IV physeal fx phalanx of left toe, 7thG"
S99242K,"Sltr-haris Type IV physeal fx phalanx of left toe, 7thK"
S99242P,"Sltr-haris Type IV physeal fx phalanx of left toe, 7thP"
S99242S,"Sltr-haris Type IV physeal fx phalanx of left toe, sequela"
S99249A,"Sltr-haris Type IV physeal fx phalanx of unsp toe, init"
S99249B,"Sltr-haris Type IV physeal fx phalanx of unsp toe, 7thB"
S99249D,"Sltr-haris Type IV physeal fx phalanx of unsp toe, 7thD"
S99249G,"Sltr-haris Type IV physeal fx phalanx of unsp toe, 7thG"
S99249K,"Sltr-haris Type IV physeal fx phalanx of unsp toe, 7thK"
S99249P,"Sltr-haris Type IV physeal fx phalanx of unsp toe, 7thP"
S99249S,"Sltr-haris Type IV physeal fx phalanx of unsp toe, sequela"
S99291A,"Other physeal fracture of phalanx of right toe, init"
S99291B,"Other physeal fracture of phalanx of right toe, 7thB"
S99291D,"Other physeal fracture of phalanx of right toe, 7thD"
S99291G,"Other physeal fracture of phalanx of right toe, 7thG"
S99291K,"Other physeal fracture of phalanx of right toe, 7thK"
S99291P,"Other physeal fracture of phalanx of right toe, 7thP"
S99291S,"Other physeal fracture of phalanx of right toe, sequela"
S99292A,"Other physeal fracture of phalanx of left toe, init"
S99292B,"Other physeal fracture of phalanx of left toe, 7thB"
S99292D,"Other physeal fracture of phalanx of left toe, 7thD"
S99292G,"Other physeal fracture of phalanx of left toe, 7thG"
S99292K,"Other physeal fracture of phalanx of left toe, 7thK"
S99292P,"Other physeal fracture of phalanx of left toe, 7thP"
S99292S,"Other physeal fracture of phalanx of left toe, sequela"
S99299A,"Other physeal fracture of phalanx of unspecified toe, init"
S99299B,"Other physeal fracture of phalanx of unspecified toe, 7thB"
S99299D,"Other physeal fracture of phalanx of unspecified toe, 7thD"
S99299G,"Other physeal fracture of phalanx of unspecified toe, 7thG"
S99299K,"Other physeal fracture of phalanx of unspecified toe, 7thK"
S99299P,"Other physeal fracture of phalanx of unspecified toe, 7thP"
S99299S,"Other physeal fx phalanx of unspecified toe, sequela"
S99811A,"Other specified injuries of right ankle, initial encounter"
S99811D,"Other specified injuries of right ankle, subs encntr"
S99811S,"Other specified injuries of right ankle, sequela"
S99812A,"Other specified injuries of left ankle, initial encounter"
S99812D,"Other specified injuries of left ankle, subsequent encounter"
S99812S,"Other specified injuries of left ankle, sequela"
S99819A,"Other specified injuries of unspecified ankle, init encntr"
S99819D,"Other specified injuries of unspecified ankle, subs encntr"
S99819S,"Other specified injuries of unspecified ankle, sequela"
S99821A,"Other specified injuries of right foot, initial encounter"
S99821D,"Other specified injuries of right foot, subsequent encounter"
S99821S,"Other specified injuries of right foot, sequela"
S99822A,"Other specified injuries of left foot, initial encounter"
S99822D,"Other specified injuries of left foot, subsequent encounter"
S99822S,"Other specified injuries of left foot, sequela"
S99829A,"Other specified injuries of unspecified foot, init encntr"
S99829D,"Other specified injuries of unspecified foot, subs encntr"
S99829S,"Other specified injuries of unspecified foot, sequela"
S99911A,"Unspecified injury of right ankle, initial encounter"
S99911D,"Unspecified injury of right ankle, subsequent encounter"
S99911S,"Unspecified injury of right ankle, sequela"
S99912A,"Unspecified injury of left ankle, initial encounter"
S99912D,"Unspecified injury of left ankle, subsequent encounter"
S99912S,"Unspecified injury of left ankle, sequela"
S99919A,"Unspecified injury of unspecified ankle, initial encounter"
S99919D,"Unspecified injury of unspecified ankle, subs encntr"
S99919S,"Unspecified injury of unspecified ankle, sequela"
S99921A,"Unspecified injury of right foot, initial encounter"
S99921D,"Unspecified injury of right foot, subsequent encounter"
S99921S,"Unspecified injury of right foot, sequela"
S99922A,"Unspecified injury of left foot, initial encounter"
S99922D,"Unspecified injury of left foot, subsequent encounter"
S99922S,"Unspecified injury of left foot, sequela"
S99929A,"Unspecified injury of unspecified foot, initial encounter"
S99929D,"Unspecified injury of unspecified foot, subsequent encounter"
S99929S,"Unspecified injury of unspecified foot, sequela"
T07XXXA,"Unspecified multiple injuries, initial encounter"
T07XXXD,"Unspecified multiple injuries, subsequent encounter"
T07XXXS,"Unspecified multiple injuries, sequela"
T148XXA,"Other injury of unspecified body region, initial encounter"
T148XXD,"Other injury of unspecified body region, subs"
T148XXS,"Other injury of unspecified body region, sequela"
T1490XA,"Injury, unspecified, initial encounter"
T1490XD,"Injury, unspecified, subsequent encounter"
T1490XS,"Injury, unspecified, sequela"
T1491XA,"Suicide attempt, initial encounter"
T1491XD,"Suicide attempt, subsequent encounter"
T1491XS,"Suicide attempt, sequela"
T1500XA,"Foreign body in cornea, unspecified eye, initial encounter"
T1500XD,"Foreign body in cornea, unspecified eye, subs encntr"
T1500XS,"Foreign body in cornea, unspecified eye, sequela"
T1501XA,"Foreign body in cornea, right eye, initial encounter"
T1501XD,"Foreign body in cornea, right eye, subsequent encounter"
T1501XS,"Foreign body in cornea, right eye, sequela"
T1502XA,"Foreign body in cornea, left eye, initial encounter"
T1502XD,"Foreign body in cornea, left eye, subsequent encounter"
T1502XS,"Foreign body in cornea, left eye, sequela"
T1510XA,"Foreign body in conjunctival sac, unsp eye, init encntr"
T1510XD,"Foreign body in conjunctival sac, unsp eye, subs encntr"
T1510XS,"Foreign body in conjunctival sac, unspecified eye, sequela"
T1511XA,"Foreign body in conjunctival sac, right eye, init encntr"
T1511XD,"Foreign body in conjunctival sac, right eye, subs encntr"
T1511XS,"Foreign body in conjunctival sac, right eye, sequela"
T1512XA,"Foreign body in conjunctival sac, left eye, init encntr"
T1512XD,"Foreign body in conjunctival sac, left eye, subs encntr"
T1512XS,"Foreign body in conjunctival sac, left eye, sequela"
T1580XA,"Fb in oth and multiple parts of external eye, unsp eye, init"
T1580XD,"Fb in oth and multiple parts of external eye, unsp eye, subs"
T1580XS,"Fb in oth and multiple parts of extrn eye, unsp eye, sequela"
T1581XA,"Fb in oth and multiple parts of external eye, r eye, init"
T1581XD,"Fb in oth and multiple parts of external eye, r eye, subs"
T1581XS,"Fb in oth and multiple parts of external eye, r eye, sequela"
T1582XA,"Fb in oth and multiple parts of external eye, left eye, init"
T1582XD,"Fb in oth and multiple parts of external eye, left eye, subs"
T1582XS,"Fb in oth and multiple parts of extrn eye, left eye, sequela"
T1590XA,"Foreign body on external eye, part unsp, unsp eye, init"
T1590XD,"Foreign body on external eye, part unsp, unsp eye, subs"
T1590XS,"Foreign body on external eye, part unsp, unsp eye, sequela"
T1591XA,"Foreign body on external eye, part unsp, right eye, init"
T1591XD,"Foreign body on external eye, part unsp, right eye, subs"
T1591XS,"Foreign body on external eye, part unsp, right eye, sequela"
T1592XA,"Foreign body on external eye, part unsp, left eye, init"
T1592XD,"Foreign body on external eye, part unsp, left eye, subs"
T1592XS,"Foreign body on external eye, part unsp, left eye, sequela"
T161XXA,"Foreign body in right ear, initial encounter"
T161XXD,"Foreign body in right ear, subsequent encounter"
T161XXS,"Foreign body in right ear, sequela"
T162XXA,"Foreign body in left ear, initial encounter"
T162XXD,"Foreign body in left ear, subsequent encounter"
T162XXS,"Foreign body in left ear, sequela"
T169XXA,"Foreign body in ear, unspecified ear, initial encounter"
T169XXD,"Foreign body in ear, unspecified ear, subsequent encounter"
T169XXS,"Foreign body in ear, unspecified ear, sequela"
T170XXA,"Foreign body in nasal sinus, initial encounter"
T170XXD,"Foreign body in nasal sinus, subsequent encounter"
T170XXS,"Foreign body in nasal sinus, sequela"
T171XXA,"Foreign body in nostril, initial encounter"
T171XXD,"Foreign body in nostril, subsequent encounter"
T171XXS,"Foreign body in nostril, sequela"
T17200A,"Unsp foreign body in pharynx causing asphyxiation, init"
T17200D,"Unsp foreign body in pharynx causing asphyxiation, subs"
T17200S,"Unsp foreign body in pharynx causing asphyxiation, sequela"
T17208A,"Unsp foreign body in pharynx causing oth injury, init encntr"
T17208D,"Unsp foreign body in pharynx causing oth injury, subs encntr"
T17208S,"Unsp foreign body in pharynx causing other injury, sequela"
T17210A,"Gastric contents in pharynx causing asphyxiation, init"
T17210D,"Gastric contents in pharynx causing asphyxiation, subs"
T17210S,"Gastric contents in pharynx causing asphyxiation, sequela"
T17218A,"Gastric contents in pharynx causing oth injury, init encntr"
T17218D,"Gastric contents in pharynx causing oth injury, subs encntr"
T17218S,"Gastric contents in pharynx causing other injury, sequela"
T17220A,"Food in pharynx causing asphyxiation, initial encounter"
T17220D,"Food in pharynx causing asphyxiation, subsequent encounter"
T17220S,"Food in pharynx causing asphyxiation, sequela"
T17228A,"Food in pharynx causing other injury, initial encounter"
T17228D,"Food in pharynx causing other injury, subsequent encounter"
T17228S,"Food in pharynx causing other injury, sequela"
T17290A,"Oth foreign object in pharynx causing asphyxiation, init"
T17290D,"Oth foreign object in pharynx causing asphyxiation, subs"
T17290S,"Oth foreign object in pharynx causing asphyxiation, sequela"
T17298A,"Oth foreign object in pharynx causing oth injury, init"
T17298D,"Oth foreign object in pharynx causing oth injury, subs"
T17298S,"Oth foreign object in pharynx causing other injury, sequela"
T17300A,"Unsp foreign body in larynx causing asphyxiation, init"
T17300D,"Unsp foreign body in larynx causing asphyxiation, subs"
T17300S,"Unsp foreign body in larynx causing asphyxiation, sequela"
T17308A,"Unsp foreign body in larynx causing oth injury, init encntr"
T17308D,"Unsp foreign body in larynx causing oth injury, subs encntr"
T17308S,"Unsp foreign body in larynx causing other injury, sequela"
T17310A,"Gastric contents in larynx causing asphyxiation, init encntr"
T17310D,"Gastric contents in larynx causing asphyxiation, subs encntr"
T17310S,"Gastric contents in larynx causing asphyxiation, sequela"
T17318A,"Gastric contents in larynx causing other injury, init encntr"
T17318D,"Gastric contents in larynx causing other injury, subs encntr"
T17318S,"Gastric contents in larynx causing other injury, sequela"
T17320A,"Food in larynx causing asphyxiation, initial encounter"
T17320D,"Food in larynx causing asphyxiation, subsequent encounter"
T17320S,"Food in larynx causing asphyxiation, sequela"
T17328A,"Food in larynx causing other injury, initial encounter"
T17328D,"Food in larynx causing other injury, subsequent encounter"
T17328S,"Food in larynx causing other injury, sequela"
T17390A,"Oth foreign object in larynx causing asphyxiation, init"
T17390D,"Oth foreign object in larynx causing asphyxiation, subs"
T17390S,"Other foreign object in larynx causing asphyxiation, sequela"
T17398A,"Oth foreign object in larynx causing oth injury, init encntr"
T17398D,"Oth foreign object in larynx causing oth injury, subs encntr"
T17398S,"Other foreign object in larynx causing other injury, sequela"
T17400A,"Unsp foreign body in trachea causing asphyxiation, init"
T17400D,"Unsp foreign body in trachea causing asphyxiation, subs"
T17400S,"Unsp foreign body in trachea causing asphyxiation, sequela"
T17408A,"Unsp foreign body in trachea causing oth injury, init encntr"
T17408D,"Unsp foreign body in trachea causing oth injury, subs encntr"
T17408S,"Unsp foreign body in trachea causing other injury, sequela"
T17410A,"Gastric contents in trachea causing asphyxiation, init"
T17410D,"Gastric contents in trachea causing asphyxiation, subs"
T17410S,"Gastric contents in trachea causing asphyxiation, sequela"
T17418A,"Gastric contents in trachea causing oth injury, init encntr"
T17418D,"Gastric contents in trachea causing oth injury, subs encntr"
T17418S,"Gastric contents in trachea causing other injury, sequela"
T17420A,"Food in trachea causing asphyxiation, initial encounter"
T17420D,"Food in trachea causing asphyxiation, subsequent encounter"
T17420S,"Food in trachea causing asphyxiation, sequela"
T17428A,"Food in trachea causing other injury, initial encounter"
T17428D,"Food in trachea causing other injury, subsequent encounter"
T17428S,"Food in trachea causing other injury, sequela"
T17490A,"Oth foreign object in trachea causing asphyxiation, init"
T17490D,"Oth foreign object in trachea causing asphyxiation, subs"
T17490S,"Oth foreign object in trachea causing asphyxiation, sequela"
T17498A,"Oth foreign object in trachea causing oth injury, init"
T17498D,"Oth foreign object in trachea causing oth injury, subs"
T17498S,"Oth foreign object in trachea causing other injury, sequela"
T17500A,"Unsp foreign body in bronchus causing asphyxiation, init"
T17500D,"Unsp foreign body in bronchus causing asphyxiation, subs"
T17500S,"Unsp foreign body in bronchus causing asphyxiation, sequela"
T17508A,"Unsp foreign body in bronchus causing oth injury, init"
T17508D,"Unsp foreign body in bronchus causing oth injury, subs"
T17508S,"Unsp foreign body in bronchus causing other injury, sequela"
T17510A,"Gastric contents in bronchus causing asphyxiation, init"
T17510D,"Gastric contents in bronchus causing asphyxiation, subs"
T17510S,"Gastric contents in bronchus causing asphyxiation, sequela"
T17518A,"Gastric contents in bronchus causing oth injury, init encntr"
T17518D,"Gastric contents in bronchus causing oth injury, subs encntr"
T17518S,"Gastric contents in bronchus causing other injury, sequela"
T17520A,"Food in bronchus causing asphyxiation, initial encounter"
T17520D,"Food in bronchus causing asphyxiation, subsequent encounter"
T17520S,"Food in bronchus causing asphyxiation, sequela"
T17528A,"Food in bronchus causing other injury, initial encounter"
T17528D,"Food in bronchus causing other injury, subsequent encounter"
T17528S,"Food in bronchus causing other injury, sequela"
T17590A,"Oth foreign object in bronchus causing asphyxiation, init"
T17590D,"Oth foreign object in bronchus causing asphyxiation, subs"
